SKU,SKU Description,x86,IBM POWER,ARM,Physical,Virtual,Virtual Datacenters,HPC,SAP,Sap Applications,SAP Solutions,Premium,Standard,Self Support,Add-on,Satellite / Smart Management ,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
RH00064,Extended Update Support for Unlimited Guests (Disaster Recovery),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,GBP,268,722.84,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,RH00064F3
RH02710,Extended Update Support for Workstation (1 Guest),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,68,184.44,RHEL,2,,,LAYERED,1,PHYSICAL NODE OR VIRTUAL NODE,RH02710F3
RH00025,High Availability,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,GBP,275,743.34,RHEL,2,,,LAYERED,0,SYSTEM,RH00025F3
RH00033,High Availability (Disaster Recovery),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,GBP,138,372.6,RHEL,2,,,LAYERED,0,SYSTEM,RH00033F3
RH00743,"High Availability for IBM Power, LE for Unlimited Guests",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,GBP,859,2319.44,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,RH00743F3
RH00744,"High Availability for IBM Power, LE (4 Cores, Up to 4 LPARs)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,GBP,93,251.51,RHEL,2,,,LAYERED,0,IFL,RH00744F3
RH01936,"High Availability for IBM Power, LE",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,GBP,275,743.34,RHEL,2,,,PREMIUM,0,PHYSICAL NODE OR VIRTUAL NODE,RH01936F3
RH00059,High Availability for Unlimited Guests,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,GBP,859,2319.44,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,RH00059F3
RH00062,High Availability for Unlimited Guests (Disaster Recovery),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,GBP,430,1160.65,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,RH00062F3
RH2262474,Red Hat Enterprise Linux Developer Suite,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,68,184.44,RHEL,8,,,SELF-SUPPORT,100,SYSTEM,RH2262474F3
