SKU,SKU Description,Premium,Standard,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",Resillient Storage,Licensing Model,,,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
MCT4479,"Red Hat OpenShift Data Foundation Essentials (Bare Metal Node) Add-On for External Storage, Standard (1-2 sockets up to 64 cores, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,248,,Container Storage,2,,,STANDARD,,SOCKET,
MCT4491,"Red Hat OpenShift Data Foundation Essentials (Bare Metal Node) Add-On for External Storage, Premium (1-2 sockets up to 64 cores, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,373,,Container Storage,2,,,PREMIUM,,SOCKET,
MCT4482,"Red Hat OpenShift Data Foundation Essentials Add-On for External Storage, Standard (2 Cores, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,28,,Container Storage,,2,,STANDARD,,CORE BAND,
MCT4483,"Red Hat OpenShift Data Foundation Essentials Add-On for External Storage, Premium (2 Cores, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,41,,Container Storage,,2,,PREMIUM,,CORE BAND,
MCT4485,"Red Hat OpenShift Data Foundation Essentials Add-On for External Storage, Premium (150 Cores, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,2588,,Container Storage,,2,,PREMIUM,,CORE BAND,
MCT4487,"Red Hat OpenShift Data Foundation Essentials Add-On for External Storage, Standard (150 Cores, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,1725,,Container Storage,,2,,STANDARD,,CORE BAND,
MCT4477,"Red Hat OpenShift Data Foundation Essentials for Distributed Computing (Edge Server), Standard (2 cores or 4 vCPUs, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,GBP,17,,Edge Data Foundation,,2,,STANDARD,,CORE BAND,
MCT4489,"Red Hat OpenShift Data Foundation Essentials for Distributed Computing (Edge Server), Premium (2 cores or 4 vCPUs, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,GBP,25,,Edge Data Foundation,,2,,PREMIUM,,CORE BAND,
MCT4481,"Red Hat OpenShift Data Foundation Essentials for Distributed Computing (Edge Server) (Bare Metal Node), Standard (1-2 sockets up to 64 cores, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,GBP,248,,Edge Data Foundation,2,,,STANDARD,,SOCKET,
MCT4486,"Red Hat OpenShift Data Foundation Essentials for Distributed Computing (Edge Server) (Bare Metal Node), Premium (1-2 sockets up to 64 cores, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,GBP,373,,Edge Data Foundation,2,,,PREMIUM,,SOCKET,
RH1331809,Resilient Storage (Academic Site Subscription) per FTE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,GBP,7,18.63,RHEL,16,,,LAYERED,20,SYSTEM,RH1331809F3
